Date,City,Province,RTLBCI
2020-12-14,Kanata, Ontario ,177.88
2020-12-14,Guelph, Ontario ,166.58
2020-12-14,Oshawa, Ontario ,175.74
2020-12-14,Windsor, Ontario ,150.89
2020-12-14,Winnipeg, Manitoba ,155.28
2020-12-14,Saskatoon, Saskatchewan ,162.86
2020-12-14,Regina, Saskatchewan ,209.91
2020-12-14,Calgary, Alberta ,142.67
2020-12-14,Edmonton, Alberta ,164.88
2020-12-14,Abbotsford, British Columbia ,211.17
2020-12-14,Kelowna, British Columbia ,184.9
2020-12-14,White Rock, British Columbia ,194.46
2020-12-14,Vancouver, British Columbia ,141.26
2020-12-14,Victoria, British Columbia ,184.02
2020-12-21,St. John's, Newfoundland ,402.48
2020-12-21,Halifax, Nova Scotia ,175.23
2020-12-21,Moncton, New Brunswick ,268.75
2020-12-21,Quebec, Quebec ,162.01
2020-12-21,Trois-Rivieres, Quebec ,213.39
2020-12-21,Sherbrooke, Quebec ,233.33
2020-12-21,Montreal, Quebec ,158.4
2020-12-21,Ottawa, Ontario ,148.64
2020-12-21,Hamilton, Ontario ,155.96
2020-12-21,Kitchener, Ontario ,168.71
2020-12-21,St. Catharines - Niagara Falls, Ontario ,202.52
2020-12-21,Barrie, Ontario ,150.67
2020-12-21,London, Ontario ,136.2
2020-12-21,Milton, Ontario ,189.99
2020-12-21,Toronto, Ontario ,135.07
2020-12-21,Kingston, Ontario ,199.45
2020-12-21,Kanata, Ontario ,200.39
2020-12-21,Guelph, Ontario ,189.67
2020-12-21,Oshawa, Ontario ,192.07
2020-12-21,Windsor, Ontario ,145.92
2020-12-21,Winnipeg, Manitoba ,167.41
2020-12-21,Saskatoon, Saskatchewan ,170.04
2020-12-21,Regina, Saskatchewan ,228.56
2020-12-21,Calgary, Alberta ,140.06
